Semantic_Similarity,Question_Score,Student_Score
0.8103280746359646,10,7
0.7811864506292774,10,0
0.8553752718313521,10,9
0.6918930788006347,10,0
0.5054919954644194,10,0
0.6294055370766184,10,2
0.8888800012443788,10,6
0.8479692561003496,10,6
0.9309658363972328,10,8
0.8421685937691189,10,6
0.925092883673509,10,6
0.7725983330831632,5,0
0.9749417642259341,5,5
0.8550124398382525,5,5
0.9415083777884035,5,2
0.6390502346870987,5,0
0.818017305452433,5,4
0.9611314860635648,5,5
0.9737720317977256,5,4
0.47538703864435955,5,4
0.8548323871383212,5,4
0.9178865686960886,5,5
0.8507101187943529,5,5
0.7027552369581787,5,0
0.9316116457712769,5,4
0.9661279385316626,5,5
0.8653567021019076,5,4
0.8994907414209701,5,4
0.969724606148068,5,4
0.8716576191775914,5,5
0.9822422539071765,5,5
0.9326802641745606,5,4
0.8605429978669557,5,4
0.8693414137545444,5,3
0.9777643189099731,5,4
0.9883751136083168,5,5
0.8898720052911759,5,5
0.9331125217075954,5,2
0.9624181688996781,5,2
0.9007391466912146,5,3
0.9271792595261982,5,2
0.972414094570162,5,3
0.9558029883842414,5,4
0.9939528781020682,5,5
0.9696305445621407,5,1
0.9837600648205174,5,4
0.937503986242823,5,1
0.8901828523155582,5,3
0.9576214474170281,5,2
0.9447913919358315,5,4
0.9666879885907202,6,4
0.9721952095623413,5,4
0.8266106774662365,5,3
0.941016885190318,5,2
0.910495038931675,5,3
0.9234469952405961,5,2
0.9129816222460242,5,3
0.949454878329268,5,4
0.9386921491795142,5,3
0.9336634810813021,5,4
0.9276153885687172,5,4
0.8946532729917521,5,4
0.9118436774347961,1,1
0.8624122290418741,1,1
0.907729987463547,1,0
0.8624122290418741,1,1
0.8508450923463557,1,0
0.8112520783286745,1,1
0.8062417544401641,1,1
0.9174072878873955,4,4
0.5567282448257735,4,0
0.9528547321909853,4,4
0.9241280260532472,5,4
0.9113593137205758,5,5
0.0,5,0
0.9508469189803357,5,3
0.9218603377097194,5,4
0.4231540271054804,5,0
0.9342930929879921,5,3
0.9687415078578646,10,8
0.5712959533789751,8,0
0.9164032650615866,8,8
0.5134365837808521,2,0
0.9212632284665083,2,2
0.8927520415541194,2,2
0.3506889768816766,2,0
0.8788506939393014,2,2
0.4422392347132004,2,2
0.8910088714402149,6,2
0.1670297877284585,6,0
0.9495314499828277,6,5
0.971131037112593,6,5
0.9441270754800779,6,5
0.7646542361430124,4,0
0.9655364145731145,4,4
0.7158317590179291,4,0
0.9590783144644597,4,4
0.972552074280938,4,4
0.4628436520632547,2,0
0.6448557044232995,4,4
0.8885063267762535,2,2
0.8102054731147604,8,0
0.9771337724245008,8,6
0.7704193684694741,5,0
0.9794264000830688,5,4
0.9249348242759118,5,5
0.9392488874982823,5,4
0.7704193684694741,5,0
0.9603062619144227,5,4
0.9477871575363309,5,4
0.9506422836899073,5,4
0.9488041923840073,5,2
0.4917376143082621,6,0
0.892402254895812,6,2
0.9067417864293592,6,2
0.9155296883701836,6,5
0.0,5,0
0.9798441540643,5,5
0.9729080413715848,5,4
0.9114817239295638,3,2
0.9757073333029821,3,2
0.32656493935554615,3,0
0.9863102763652485,6,5
0.5246582554116145,6,0
0.9884126352484708,6,5
0.9862713968460778,6,6
0.9671714261034772,6,5
0.5014284167529124,3,0
0.9473204553932035,3,3
0.5014284167529124,3,0
0.9498614817157367,3,1
0.9080169049031797,6,1
0.0,6,0
0.5784612261831888,6,5
0.6304994380743959,6,5
0.9203519101363852,3,2
0.6991265906958919,3,0
0.945560698230986,3,3
0.9549576210453883,5,1
0.0,5,0
0.916661908428173,5,4
0.15516675299063337,5,0
0.9630059570383839,5,5
0.9031341252643789,2,2
0.9842199283217405,2,2
0.5157603719644622,2,0
0.8606769868835618,2,2
0.8849622351164784,4,2
0.8849622351164784,4,2
0.827651884498638,5,0
0.827651884498638,5,3
0.8049310078119986,5,3
0.91104520989487,5,1
0.8857572543339488,5,0
0.4724222875384575,5,1
0.8395914337819383,3,2
0.9485330301760568,3,1
0.6403415819567705,3,1
0.4241994706774628,3,0
0.5316817949920618,6,0
0.9667779928183318,6,5
0.9419662240177923,6,3
0.9592122609892632,2,2
0.8309089249662831,2,0
0.9590272472226282,1,1
0.9704365964263365,1,1
0.5729041058190955,1,0
0.9526117997326494,1,1
0.9393847603200489,4,3
0.8602755476338412,4,2
0.0,4,0
0.977303806138516,3,2
0.9666333002379213,3,2
0.7647863927148968,3,0
0.8103280746359646,10,7
0.7811864506292774,10,0
0.8553752718313521,10,9
0.6918930788006347,10,0
0.5054919954644194,10,0
0.6294055370766184,10,2
0.8888800012443788,10,6
0.8479692561003496,10,6
0.9309658363972328,10,8
0.8421685937691189,10,6
0.925092883673509,10,6
0.7725983330831632,5,0
0.9749417642259341,5,5
0.8550124398382525,5,5
0.9415083777884035,5,2
0.6390502346870987,5,0
0.818017305452433,5,4
0.9611314860635648,5,5
0.9737720317977256,5,4
0.47538703864435955,5,4
0.8548323871383212,5,4
0.9178865686960886,5,5
0.8507101187943529,5,5
0.7027552369581787,5,0
0.9316116457712769,5,4
0.9661279385316626,5,5
0.8653567021019076,5,4
0.8994907414209701,5,4
0.969724606148068,5,4
0.8716576191775914,5,5
0.9822422539071765,5,5
0.9326802641745606,5,4
0.8605429978669557,5,4
0.8693414137545444,5,3
0.9777643189099731,5,4
0.9883751136083168,5,5
0.8898720052911759,5,5
0.9331125217075954,5,2
0.9624181688996781,5,2
0.9007391466912146,5,3
0.9271792595261982,5,2
0.972414094570162,5,3
0.9558029883842414,5,4
0.9939528781020682,5,5
